[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 7 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 3
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 4
